name,dosageType,generic,strength,manufacturer,UnitPrice,PackageSize
Ibida,Tablet,Rifaximin,200 mg,Healthcare Pharmaceuticals Ltd.,25.00,(20's pack: ৳ 500.00)
IBF,Tablet,Ibuprofen,400 mg,Decent Pharma Laboratories Ltd.,1.25,(100's pack: ৳ 125.00)
Iben,Tablet,Ibuprofen,400 mg,Central Pharmaceuticals Ltd.,1.30,(100's pack: ৳ 130.00)
Iben,Tablet,Ibuprofen,400 mg,Zenith Pharmaceuticals Ltd.,1.30,(100's pack: ৳ 130.00)
Ibandron,Tablet,Ibandronic Acid,150 mg,Aristopharma Ltd.,1,1 tablet kit: ৳ 1
Ibancal kit,Tablet,Ibandronic Acid & Calcium Orotate,150 mg & 400 mg,General Pharmaceuticals Ltd.,1,(1 & 60) tablet kit: ৳ 990.00
Ibakin,Tablet,Imatinib Mesylate,400 mg,Genvio Pharma Ltd.,350.00,"(30's pack: ৳ 10,500.00)"
Ibakin,Tablet,Imatinib Mesylate,100 mg,Genvio Pharma Ltd.,100.00,"(30's pack: ৳ 3,000.00)"
I-Zol,Capsule,Itraconazole,100 mg,Popular Pharmaceuticals Ltd.,15.00,(20's pack: ৳ 300.00)
I-Vita,Eye Capsule,"Vitamin C, Vitamin E, Lutein, Copper & Zinc",,Opsonin Pharma Ltd.,10.00,(30's pack: ৳ 300.00)
I-Ver,Tablet,Ivermectin (Tablet),6 mg,Globe Pharmaceuticals Ltd.,10.00,(10's pack: ৳ 100.00)
I-Sol,Ophthalmic Solution,Sodium Chloride (Ophthalmic Solution),5%,Opso Saline Ltd.,10,10 ml drop: ৳ 70.00
I-Proton,Capsule (Delayed Release),Omeprazole,20 mg,Doctor TIMS Pharmaceuticals Ltd.,5.02,(100's pack: ৳ 502.00)
I-POP,Tablet,Domperidone Maleate,10 mg,Doctor TIMS Pharmaceuticals Ltd.,2.00,(100's pack: ৳ 200.00)
I-Pill DS,Tablet,Levonorgestrel,1.5 mg,Popular Pharmaceuticals Ltd.,1,1 tablet pack: ৳ 70.00
Ibsan,Tablet,Irbesartan,75 mg,ACME Laboratories Ltd.,5.00,(20's pack: ৳ 100.00)
Ibruxen,Capsule,Ibrutinib,140 mg,Everest Pharmaceuticals Ltd.,1320.00,"(30's pack: ৳ 39,600.00)"
Ibrutix,Capsule,Ibrutinib,140 mg,Beacon Pharmaceuticals Ltd.,1326.00,"(120's pack: ৳ 159,120.00)"
Ibrutab,Capsule,Ibrutinib,140 mg,Eskayef Pharmaceuticals Ltd.,600.00,"(28's pack: ৳ 16,800.00)"
Ibrunib,Capsule,Ibrutinib,140 mg,Jenphar Bangladesh Ltd.,550.00,"(120's pack: ৳ 66,000.00)"
Ibrucent,Capsule,Ibrutinib,140 mg,Incepta Pharmaceuticals Ltd.,500.00,"(12's pack: ৳ 6,000.00),(90's pack: ৳ 45,000.00)"
I-Penam,IV Injection or Infusion,Meropenem Trihydrate,250 mg/vial,Incepta Pharmaceuticals Ltd.,250,250 mg vial: ৳ 400.00
I-Penam,IV Injection or Infusion,Meropenem Trihydrate,1 gm/vial,Incepta Pharmaceuticals Ltd.,1,1 gm vial: ৳ 1
I-Penam,IV Injection or Infusion,Meropenem Trihydrate,500 mg/vial,Incepta Pharmaceuticals Ltd.,500,500 mg vial: ৳ 700.00
I-Guard,Ophthalmic Solution,Chloramphenicol (Ophthalmic),0.50%,Incepta Pharmaceuticals Ltd.,10,10 ml drop: ৳ 34.40
I-Gold,Eye Capsule,"Vitamin C, Vitamin E, Lutein, Copper & Zinc",,Aristopharma Ltd.,10.00,(60's pack: ৳ 600.00)
I-Fort,Ophthalmic Solution,Polyethylene Glycol + Propylene Glycol,0.4%+0.3%,Biopharma Laboratories Ltd.,10,10 ml drop: ৳ 172.50
I-Fol,Tablet,Ferrous Fumarate + Folic acid,200 mg+200 mcg,Indo Bangla Pharmaceutical,0.30,(100's pack: ৳ 30.00)
I-Cin,Capsule,Indomethacin (Oral),25 mg,Indo Bangla Pharmaceutical,0.60,(100's pack: ৳ 60.00)
IG VENA,IV Injection or Infusion,Human Immunoglobulin-G [IgG],5 gm/100 ml,"Kedrion Biopharma, Italy",100,100 ml vial: ৳ 44
IG VENA,IV Injection or Infusion,Human Immunoglobulin-G [IgG],2.5 gm/50 ml,"Kedrion Biopharma, Italy",50,50 ml vial: ৳ 22
Ifozin-SR,Capsule (Sustained Release),Ferrous Sulfate + Folic Acid + Zinc Sulfate,150 mg+0.5 mg+61.8 mg,Ibn Sina Pharmaceuticals Ltd.,3.05,(50's pack: ৳ 152.50)
Ifomes,IV Injection,Mesna,400 mg/4 ml,Beacon Pharmaceuticals Ltd.,400,(2's pack: ৳ 380.00)
Ifel-TR,Capsule (Timed Release),Ferrous Sulfate + Folic Acid + Zinc Sulfate,150 mg+0.5 mg+61.8 mg,Pharmadesh Laboratories Ltd.,2.90,(30's pack: ৳ 87.00)
Ifamide & Mesna,IV Infusion,Ifosfamide,2 gm & 1600 mg,Techno Drugs Ltd.,2,2 gm Ifamide & 1600 mg Mesna: ৳ 3
Ifamide & Mesna,IV Infusion,Ifosfamide,1 gm & 800 mg,Techno Drugs Ltd.,1,1 gm Ifamide & 800 mg Mesna: ৳ 1
Idrofos Kit,Tablet,Ibandronic Acid + Calcium Carbonate + Vitamin D3,150 mg+500 mg+200 IU,Sun Pharmaceutical Ltd.,1,(1 & 30) tablet kit: ৳ 645.00
Idiopag,Tablet,Eltrombopag Olamine,50 mg,Healthcare Pharmaceuticals Ltd.,1000.00,"(7's pack: ৳ 7,000.00)"
Idiopag,Tablet,Eltrombopag Olamine,25 mg,Healthcare Pharmaceuticals Ltd.,600.00,"(7's pack: ৳ 4,200.00)"
Idatix SR,Tablet (Sustained Release),Indapamide,1.5 mg,Incepta Pharmaceuticals Ltd.,5.00,(50's pack: ৳ 250.00)
Icykool Max,Cream,Methyl Salicylate + Menthol,30%+8%,Beximco Pharmaceuticals Ltd.,25,25 gm tube: ৳ 65.00
Icykool,Cream,Methyl Salicylate + Menthol,15%+10%,Beximco Pharmaceuticals Ltd.,25,25 gm tube: ৳ 40.00
Iconal,Capsule,Itraconazole,100 mg,Kemiko Pharmaceuticals Ltd.,15.04,(12's pack: ৳ 180.48)
Icol,Ophthalmic Solution,Chloramphenicol (Ophthalmic),0.50%,ACI Limited,10,10 ml drop: ৳ 34.50
Iclear,Ophthalmic Solution,Hypromellose,0.30%,Navana Pharmaceuticals Ltd.,10,10 ml drop: ৳ 79.00
Ilodon,Tablet,Iloperidone,6 mg,Beacon Pharmaceuticals Ltd.,4.01,(50's pack: ৳ 200.50)
Ilodon,Tablet,Iloperidone,2 mg,Beacon Pharmaceuticals Ltd.,2.01,(50's pack: ৳ 100.50)
Ilocin,Powder for Suspension,Erythromycin (Oral),125 mg/5 ml,Doctor’s Chemical Works Ltd.,100,100 ml bottle: ৳ 60.00
Ilocin,Tablet,Erythromycin (Oral),500 mg,Doctor’s Chemical Works Ltd.,8.00,(20's pack: ৳ 160.00)
Icid,Ophthalmic Solution,Sulfacetamide sodium,20%,Nipa Pharmaceuticals Ltd.,10,10 ml drop: ৳ 27.00
Icid,Ophthalmic Solution,Sulfacetamide sodium,10%,Nipa Pharmaceuticals Ltd.,10,10 ml drop: ৳ 19.22
Icefil,Ophthalmic Solution,Polyethylene Glycol + Propylene Glycol,0.4%+0.3%,Opsonin Pharma Ltd.,10,10 ml drop: ৳ 200.00
Icaft,Ophthalmic Solution,Alcaftadine,0.25%,Navana Pharmaceuticals Ltd.,5,5 ml drop: ৳ 400.00
Ibutigen,Capsule,Ibrutinib,140 mg,General Pharmaceuticals Ltd.,600.00,"(120's pack: ৳ 72,000.00)"
Iburex,Tablet,Ibuprofen,200 mg,Medimet Pharmaceuticals Ltd.,0.80,(100's pack: ৳ 80.00)
Iburex,Tablet,Ibuprofen,400 mg,Medimet Pharmaceuticals Ltd.,1.20,(100's pack: ৳ 120.00)
Ibspa,Syrup,Dicycloverine Hydrochloride,10 mg/5 ml,Pacific Pharmaceuticals Ltd.,50,50 ml bottle: ৳ 25.00
Ibspa,Tablet,Dicycloverine Hydrochloride,10 mg,Pacific Pharmaceuticals Ltd.,2.00,(100's pack: ৳ 200.00)
Imaxen,Tablet,Imatinib Mesylate,100 mg,Everest Pharmaceuticals Ltd.,100.00,Unit Price: ৳ 100.00
Imaxen,Tablet,Imatinib Mesylate,400 mg,Everest Pharmaceuticals Ltd.,350.00,"(14's pack: ৳ 4,900.00)"
iMAX,Capsule (Delayed Release),Esomeprazole,40 mg,Delta Pharma Ltd.,8.00,(50's pack: ৳ 400.00)
iMAX,Capsule (Delayed Release),Esomeprazole,20 mg,Delta Pharma Ltd.,5.00,(60's pack: ৳ 300.00)
Imatin,Tablet,Imatinib Mesylate,100 mg,Techno Drugs Ltd.,100.00,"(30's pack: ৳ 3,000.00)"
Imatin,Tablet,Imatinib Mesylate,400 mg,Techno Drugs Ltd.,400.00,"(30's pack: ৳ 12,000.00)"
Imanix,Tablet,Imatinib Mesylate,400 mg,Beacon Pharmaceuticals Ltd.,320.00,"(30's pack: ৳ 9,600.00)"
Imanix,Tablet,Imatinib Mesylate,100 mg,Beacon Pharmaceuticals Ltd.,100.00,"(30's pack: ৳ 3,000.00)"
Imaceva,Tablet,Imatinib Mesylate,400 mg,Square Pharmaceuticals Ltd.,300.00,Unit Price: ৳ 300.00
Imaceva,Tablet,Imatinib Mesylate,100 mg,Square Pharmaceuticals Ltd.,100.00,Unit Price: ৳ 100.00
Imacent,Tablet,Imatinib Mesylate,100 mg,Incepta Pharmaceuticals Ltd.,100.00,"(30's pack: ৳ 3,000.00)"
Imacent,Tablet,Imatinib Mesylate,400 mg,Incepta Pharmaceuticals Ltd.,300.00,"(30's pack: ৳ 9,000.00)"
Imacef,IV Injection,Ceftriaxone Sodium,250 mg/vial,General Pharmaceuticals Ltd.,250,250 mg vial: ৳ 90.00
Imacef,IV Injection,Ceftriaxone Sodium,2 gm/vial,General Pharmaceuticals Ltd.,2,2 gm vial: ৳ 302.00
Imacef,IV Injection,Ceftriaxone Sodium,1 gm/vial,General Pharmaceuticals Ltd.,1,1 gm vial: ৳ 190.00
Imacef,IM Injection,Ceftriaxone Sodium,250 mg/vial,General Pharmaceuticals Ltd.,250,250 mg vial: ৳ 90.60
Imigra,Capsule,Flunarizine,5 mg,Navana Pharmaceuticals Ltd.,4.02,(60's pack: ৳ 241.20)
Imiclara,Cream,Imiquimod,5%,UniMed UniHealth,250,(6's pack: ৳ 360.00)
Imet SR,Capsule (Sustained Release),Indomethacin (Oral),75 mg,Pacific Pharmaceuticals Ltd.,4.00,(50's pack: ৳ 200.00)
Imet,Capsule,Indomethacin (Oral),25 mg,Pacific Pharmaceuticals Ltd.,1.00,(100's pack: ৳ 100.00)
Imecta,Tablet,Ivermectin (Tablet),6 mg,Beacon Pharmaceuticals Ltd.,15.00,(10's pack: ৳ 150.00)
Imec,Tablet,Ivermectin (Tablet),6 mg,Popular Pharmaceuticals Ltd.,15.00,(10's pack: ৳ 150.00)
Imbac,IV Injection,Imipenem + Cilastatin,(500 mg+500 mg)/vial,Popular Pharmaceuticals Ltd.,500,500 mg vial: ৳ 1
Imacef,IM Injection,Ceftriaxone Sodium,500 mg/vial,General Pharmaceuticals Ltd.,500,500 mg vial: ৳ 130.00
Imacef,IM Injection,Ceftriaxone Sodium,1 gm/vial,General Pharmaceuticals Ltd.,1,1 gm vial: ৳ 190.00
Iluca,Powder for Suspension,Fluconazole,50 mg/5 ml,Ibn Sina Pharmaceuticals Ltd.,35,35 ml bottle: ৳ 78.00
Iluca,Capsule,Fluconazole,150 mg,Ibn Sina Pharmaceuticals Ltd.,23.00,(12's pack: ৳ 276.00)
Iluca,Capsule,Fluconazole,50 mg,Ibn Sina Pharmaceuticals Ltd.,9.00,(20's pack: ৳ 180.00)
Ilozin,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Doctor’s Chemical Works Ltd.,15,15 ml bottle: ৳ 85.00
Ilozin,Tablet,Azithromycin Dihydrate,500 mg,Doctor’s Chemical Works Ltd.,30.00,(8's pack: ৳ 240.00)
Imunofen,Syrup,Ketotifen Fumarate (Oral),1 mg/5 ml,Kumudini Pharma Ltd.,100,100 ml bottle: ৳ 50.00
Imucort,Tablet,Deflazacort,6 mg,Ziska Pharmaceuticals Ltd.,8.00,(30's pack: ৳ 240.00)
Imucort,Tablet,Deflazacort,24 mg,Ziska Pharmaceuticals Ltd.,30.00,(20's pack: ৳ 600.00)
Imucort,Oral Suspension,Deflazacort,6 mg/5 ml,Ziska Pharmaceuticals Ltd.,60,60 ml bottle: ৳ 200.00
Improcal,Capsule,Calcitriol,0.25 mcg,Opsonin Pharma Ltd.,7.03,(50's pack: ৳ 351.50)
Impreja,Tablet,Dapoxetine Hydrochloride,30 mg,UniMed UniHealth,30.00,(20's pack: ৳ 600.00)
Impedox,Capsule,Doxycycline Hydrochloride,100 mg,ACI Limited,2.17,(100's pack: ৳ 217.00)
Imped Plus,Tablet,Amlodipine Besilate + Atenolol,5 mg+50 mg,Rephco Pharmaceuticals Ltd.,5.00,(100's pack: ৳ 500.00)
Imped Plus,Tablet,Amlodipine Besilate + Atenolol,5 mg+25 mg,Rephco Pharmaceuticals Ltd.,4.00,(100's pack: ৳ 400.00)
Imped,Tablet,Amlodipine Besilate,5 mg,Rephco Pharmaceuticals Ltd.,3.50,(30's pack: ৳ 105.00)
Imovane,Tablet,Zopiclone,7.5 mg,Synovia pharma plc,10.03,(30's pack: ৳ 300.90)
Imotil,Capsule,Loperamide Hydrochloride,2 mg,Square Pharmaceuticals Ltd.,1.00,(200's pack: ৳ 200.00)
Imojev,SC Injection,Encephalitis Vaccine,0.5 ml/vial,Synovia pharma plc,0.5,0.5 ml vial: ৳ 2
Imnoc,Tablet,Imipramine Hydrochloride,25 mg,UniMed UniHealth,4.00,(30's pack: ৳ 120.00)
IMMUNOHBs,Injection,Hepatitis b immune globulin,180 IU/ml,ZAS Corporation,180,180 IU vial: ৳ 5
Immense,Tablet,Sildenafil Citrate,50 mg,Biopharma Laboratories Ltd.,25.00,(12's pack: ৳ 300.00)
Inarom,Ophthalmic Solution,Bromfenac Sodium,0.09%,Navana Pharmaceuticals Ltd.,5,5 ml drop: ৳ 100.30
Imuzin-B,Tablet,Vitamin B Complex + Zinc,,Beacon Pharmaceuticals Ltd.,3.00,(30's pack: ৳ 90.00)
Imuzin-B,Syrup,Vitamin B Complex + Zinc,,Beacon Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 55.00
Imuran,Tablet,Azathioprine,50 mg,GlaxoSmithKline,16.00,"(100's pack: ৳ 1,600.00)"
Imitab,Tablet,Imatinib Mesylate,100 mg,Eskayef Pharmaceuticals Ltd.,100.00,"(30's pack: ৳ 3,000.00)"
Imitab,Tablet,Imatinib Mesylate,400 mg,Eskayef Pharmaceuticals Ltd.,350.00,"(30's pack: ৳ 10,500.00)"
Imiro,IV Injection,Iohexol,350 mg/ml,Popular Pharmaceuticals Ltd.,50,50 ml bottle: ৳ 1
Imipen,IV Injection,Imipenem + Cilastatin,(500 mg+500 mg)/vial,Techno Drugs Ltd.,500,500 mg vial: ৳ 1
Iminod,Cream,Imiquimod,5%,Ziska Pharmaceuticals Ltd.,10,10 gm tube: ৳ 275.00
Iminem,IV Injection,Imipenem + Cilastatin,(250 mg+250 mg)/vial,ACI Limited,250,250 mg vial: ৳ 650.00
Iminem,IV Injection,Imipenem + Cilastatin,(500 mg+500 mg)/vial,ACI Limited,500,500 mg vial: ৳ 1
Imigra,Tablet,Flunarizine,10 mg,Navana Pharmaceuticals Ltd.,5.00,(30's pack: ৳ 150.08)
Imigra,Tablet,Flunarizine,5 mg,Navana Pharmaceuticals Ltd.,3.50,(50's pack: ৳ 174.76)
Indever,Tablet,Propranolol Hydrochloride,10 mg,ACI Limited,0.51,(100's pack: ৳ 51.00)
Indever,Tablet,Propranolol Hydrochloride,40 mg,ACI Limited,1.50,(100's pack: ৳ 150.00)
Indelix SR,Tablet (Sustained Release),Indapamide,1.5 mg,Beximco Pharmaceuticals Ltd.,6.00,(30's pack: ৳ 180.00)
Indarol Easycap,Inhalation Capsule,Indacaterol Maleate,150 mcg,Healthcare Pharmaceuticals Ltd.,35.00,"(30's pack: ৳ 1,050.00)"
Indarol Easycap,Inhalation Capsule,Indacaterol Maleate,300 mcg,Healthcare Pharmaceuticals Ltd.,65.00,"(30's pack: ৳ 1,950.00)"
Indapril,Tablet,Indapamide + Perindopril Arginine,0.625 mg+2 mg,Incepta Pharmaceuticals Ltd.,7.00,(30's pack: ৳ 210.00)
Indapril,Tablet,Indapamide + Perindopril Arginine,1.25 mg+4 mg,Incepta Pharmaceuticals Ltd.,12.00,(20's pack: ৳ 240.00)
Indapa-SR,Tablet (Sustained Release),Indapamide,1.5 mg,Drug International Ltd.,5.05,(50's pack: ৳ 252.50)
Indapa-Plus,Tablet,Indapamide + Perindopril Arginine,1.25 mg+2 mg,Drug International Ltd.,6.05,(20's pack: ৳ 121.00)
Indapa-Plus,Tablet,Indapamide + Perindopril Arginine,1.25 mg+4 mg,Drug International Ltd.,12.05,(10's pack: ৳ 120.50)
Indamid SR,Tablet (Sustained Release),Indapamide,1.5 mg,Sharif Pharmaceuticals Ltd.,5.01,(30's pack: ৳ 150.30)
Indag-Met,Tablet,Vildagliptin + Metformin Hydrochloride,50 mg+850 mg,Pharmasia Limited,22.00,(20's pack: ৳ 440.00)
Indag-Met,Tablet,Vildagliptin + Metformin Hydrochloride,50 mg+500 mg,Pharmasia Limited,21.00,(20's pack: ৳ 420.00)
Incrit-M,Tablet,Sitagliptin + Metformin Hydrochloride,50 mg+1000 mg,Synovia pharma plc,22.07,(18's pack: ৳ 397.26)
Incrit-M,Tablet,Sitagliptin + Metformin Hydrochloride,50 mg+500 mg,Synovia pharma plc,20.06,(20's pack: ৳ 401.20)
Incrit,Tablet,Sitagliptin,50 mg,Synovia pharma plc,18.05,(20's pack: ৳ 361.00)
Indoflam,Oral Suspension,Ibuprofen,100 mg/5 ml,Indo Bangla Pharmaceutical,100,100 ml bottle: ৳ 18.58
Indocef,Powder for Suspension,Cephradine,125 mg/5 ml,Indo Bangla Pharmaceutical,100,100 ml bottle: ৳ 80.00
Indocal,Tablet,Calcium Carbonate,500 mg,Indo Bangla Pharmaceutical,2.00,(30's pack: ৳ 60.00)
Indo-A,Suppository,Indomethacin (Rectal),100 mg,ACME Laboratories Ltd.,7.04,(10's pack: ৳ 70.40)
Indimide SR,Tablet (Sustained Release),Indapamide,1.5 mg,Healthcare Pharmaceuticals Ltd.,6.50,(30's pack: ৳ 195.00)
Indicontin,Tablet (Sustained Release),Indapamide,1.5 mg,Mundipharma (BD) Pvt. Ltd.,8.50,(30's pack: ৳ 255.00)
Indica-G,Inhalation Capsule,Indacaterol + Glycopyrronium,110 mcg+50 mcg,ACME Laboratories Ltd.,40.00,"(30's pack: ৳ 1,200.00)"
Incrit,Tablet,Sitagliptin,100 mg,Synovia pharma plc,30.09,(10's pack: ৳ 300.90)
Inco SR,Tablet (Sustained Release),Indapamide,1.5 mg,Innovative Pharma (Albion),10.40,(50's pack: ৳ 520.00)
Inclox,Capsule,Flucloxacillin Sodium,500 mg,Incepta Pharmaceuticals Ltd.,10.00,(50's pack: ৳ 500.00)
Inclox,Capsule,Flucloxacillin Sodium,250 mg,Incepta Pharmaceuticals Ltd.,5.50,(50's pack: ৳ 275.00)
Inclaud,Tablet,Cilostazol,100 mg,ACI Limited,10.00,(20's pack: ৳ 200.00)
Inbuten,Powder for Suspension,Ceftibuten Dihydrate,90 mg/5 ml,Radiant Pharmaceuticals Ltd.,60,60 ml bottle: ৳ 480.00
Inbuten,Capsule,Ceftibuten Dihydrate,400 mg,Radiant Pharmaceuticals Ltd.,120.00,"(10's pack: ৳ 1,200.00)"
Indula,Tablet,Misoprostol,200 mcg,Renata Limited,15.00,(30's pack: ৳ 450.00)
Inducin,IM/IV Injection,Oxytocin,10 IU/ml,Incepta Pharmaceuticals Ltd.,10,(10's pack: ৳ 250.00)
Indozith,Capsule,Azithromycin Dihydrate,250 mg,Indo Bangla Pharmaceutical,30.00,(6's pack: ৳ 180.00)
Indozith,Tablet,Azithromycin Dihydrate,500 mg,Indo Bangla Pharmaceutical,30.00,(6's pack: ৳ 180.00)
Indozith,Capsule,Azithromycin Dihydrate,500 mg,Indo Bangla Pharmaceutical,15,15 ml bottle: ৳ 85.00
Indoxyl,Capsule,Indomethacin (Oral),25 mg,Jayson Pharmaceuticals Ltd.,0.63,(100's pack: ৳ 63.00)
Indox,Capsule,Doxycycline Hydrochloride,100 mg,Indo Bangla Pharmaceutical,2.00,(100's pack: ৳ 200.00)
Indotetra,Capsule,Tetracycline Hydrochloride (Oral),500 mg,Indo Bangla Pharmaceutical,1.50,(100's pack: ৳ 150.00)
Indotetra,Capsule,Tetracycline Hydrochloride (Oral),250 mg,Indo Bangla Pharmaceutical,0.80,(100's pack: ৳ 80.00)
Indoseem,Capsule,Indomethacin (Oral),25 mg,Seema Pharmaceuticals Ltd.,0.70,(100's pack: ৳ 70.00)
Indorex,Capsule,Indomethacin (Oral),25 mg,Medimet Pharmaceuticals Ltd.,1.00,"(150's pack: ৳ 150.00),(100's pack: ৳ 100.00)"
Indoprox,Tablet,Naproxen Sodium,500 mg,Indo Bangla Pharmaceutical,7.00,(30's pack: ৳ 210.00)
Indoprox,Tablet,Naproxen Sodium,250 mg,Indo Bangla Pharmaceutical,5.33,(30's pack: ৳ 160.00)
Indoplex B,Tablet,Vitamin B complex,,Indo Bangla Pharmaceutical,0.40,(45's pack: ৳ 18.00)
Indoplex,Syrup,Vitamin B complex,,Indo Bangla Pharmaceutical,100,100 ml bottle: ৳ 20.70
Indophyllin,Tablet,Aminophylline,100 mg,Indo Bangla Pharmaceutical,0.42,(100's pack: ৳ 42.00)
Infecef,IM Injection,Ceftriaxone Sodium,1 gm/vial,Alco Pharma Ltd.,1,1 gm vial: ৳ 190.58
Infecef,IM Injection,Ceftriaxone Sodium,500 mg/vial,Alco Pharma Ltd.,500,500 mg vial: ৳ 130.39
Infecef,IV Injection,Ceftriaxone Sodium,2 gm/vial,Alco Pharma Ltd.,2,2 gm vial: ৳ 300.90
Infanil,Tablet,Cefuroxime Axetil,250 mg,Novelta Bestway Pharma Ltd.,25.08,(12's pack: ৳ 300.96)
Infanil,Tablet,Cefuroxime Axetil,500 mg,Novelta Bestway Pharma Ltd.,45.00,(8's pack: ৳ 360.00)
Infanil,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Novelta Bestway Pharma Ltd.,70,70 ml bottle: ৳ 198.60
Infa-3,Capsule,Cefixime Trihydrate,400 mg,Novelta Bestway Pharma Ltd.,50.15,(8's pack: ৳ 401.20)
Infa-3,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Novelta Bestway Pharma Ltd.,50,50 ml bottle: ৳ 195.59
Infa-3,Capsule,Cefixime Trihydrate,200 mg,Novelta Bestway Pharma Ltd.,35.11,(12's pack: ৳ 421.32)
Indomin,Capsule,Indomethacin (Oral),25 mg,Reliance Pharmaceuticals Ltd.,1.00,(100's pack: ৳ 100.00)
Indomethacin,Capsule,Indomethacin (Oral),25 mg,Bristol Pharmaceuticals Ltd.,0.60,(100's pack: ৳ 60.00)
Indomet SR,Capsule (Sustained Release),Indomethacin (Oral),75 mg,Opsonin Pharma Ltd.,4.02,(50's pack: ৳ 201.00)
Indomet,Capsule,Indomethacin (Oral),25 mg,Opsonin Pharma Ltd.,1.00,(100's pack: ৳ 100.00)
Indomet,Suppository,Indomethacin (Rectal),100 mg,Opsonin Pharma Ltd.,7.06,(25's pack: ৳ 176.50)
Informet,Tablet,Metformin Hydrochloride,500 mg,Beximco Pharmaceuticals Ltd.,3.00,(100's pack: ৳ 300.00)
Informet,Tablet,Metformin Hydrochloride,850 mg,Beximco Pharmaceuticals Ltd.,4.45,(60's pack: ৳ 267.00)
Info-850,Tablet,Metformin Hydrochloride,850 mg,Bristol Pharmaceuticals Ltd.,3.00,(50's pack: ৳ 150.00)
Info-500,Tablet,Metformin Hydrochloride,500 mg,Bristol Pharmaceuticals Ltd.,2.00,(50's pack: ৳ 100.00)
Influvax Tetra,IM Injection,Inactivated Influenza Vaccine,0.5 ml/prefilled syringe,Incepta Pharmaceuticals Ltd.,0.5,0.5 ml pre-filled syringe: ৳ 950.00
Influ,Syrup,Amantadine Hydrochloride,50 mg/5 ml,Peoples Pharma Ltd.,100,100 ml bottle: ৳ 35.17
Influ,Capsule,Amantadine Hydrochloride,100 mg,Peoples Pharma Ltd.,3.00,(60's pack: ৳ 180.00)
Inflect,Tablet (Delayed Release),Naproxen Sodium + Esomeprazole Magnesium,375 mg+20 mg,Kemiko Pharmaceuticals Ltd.,8.02,(20's pack: ৳ 160.40)
Inflect,Tablet (Delayed Release),Naproxen Sodium + Esomeprazole Magnesium,500 mg+20 mg,Kemiko Pharmaceuticals Ltd.,10.03,(20's pack: ৳ 200.60)
Inflavis,Ophthalmic Solution,Dexamethasone (Ophthalmic),0.10%,Beximco Pharmaceuticals Ltd.,5,5 ml drop: ৳ 70.00
Inflam-D,Tablet,Dexibuprofen,200 mg,Synovia pharma plc,3.02,(100's pack: ৳ 302.00)
Inflam-D,Tablet,Dexibuprofen,300 mg,Synovia pharma plc,4.03,(100's pack: ৳ 403.00)
Inflam-D,Tablet,Dexibuprofen,400 mg,Synovia pharma plc,5.04,(50's pack: ৳ 252.00)
Inflam,Tablet,Ibuprofen,200 mg,Synovia pharma plc,0.88,(100's pack: ৳ 88.00)
Inflam,Oral Suspension,Ibuprofen,100 mg/5 ml,Synovia pharma plc,100,100 ml bottle: ৳ 33.80
Inflam,Tablet,Ibuprofen,400 mg,Synovia pharma plc,1.43,(100's pack: ৳ 143.00)
Infud,Tablet,Terbinafine Hydrochloride,250 mg,General Pharmaceuticals Ltd.,40.25,(4's pack: ৳ 161.00)
Infovir,Tablet,Adefovir Dipivoxil,10 mg,Incepta Pharmaceuticals Ltd.,35.00,(20's pack: ৳ 700.00)
Informet XR,Tablet (Extended Release),Metformin Hydrochloride,500 mg,Beximco Pharmaceuticals Ltd.,6.00,(30's pack: ৳ 180.00)
Informet XR,Tablet (Extended Release),Metformin Hydrochloride,750 mg,Beximco Pharmaceuticals Ltd.,9.00,(30's pack: ৳ 270.00)
Informet LA,Long Acting Tablet,Metformin Hydrochloride,750 mg,Beximco Pharmaceuticals Ltd.,7.00,(60's pack: ৳ 420.00)
Informet LA,Long Acting Tablet,Metformin Hydrochloride,500 mg,Beximco Pharmaceuticals Ltd.,5.00,(100's pack: ৳ 500.00)
Informet LA,Long Acting Tablet,Metformin Hydrochloride,1000 mg,Beximco Pharmaceuticals Ltd.,8.00,(60's pack: ৳ 480.00)
Inflagic,Tablet,Prednisolone,20 mg,Square Pharmaceuticals Ltd.,6.27,(50's pack: ৳ 313.50)
Inflagen,Ophthalmic Suspension,Fluorometholone + Gentamicin,0.1%+0.3%,Asiatic Laboratories Ltd.,5,5 ml drop: ৳ 130.00
Infladex-TN,Ophthalmic Solution,Dexamethasone + Tobramycin,0.1%+0.3%,Biopharma Laboratories Ltd.,5,5 ml drop: ৳ 150.00
Infladex,Ophthalmic Solution,Dexamethasone (Ophthalmic),0.10%,Biopharma Laboratories Ltd.,5,5 ml drop: ৳ 70.00
Inflacin,Capsule,Indomethacin (Oral),25 mg,Rephco Pharmaceuticals Ltd.,0.60,(100's pack: ৳ 60.00)
Infecef,IM Injection,Ceftriaxone Sodium,250 mg/vial,Alco Pharma Ltd.,250,250 mg vial: ৳ 100.30
Inomet,Ophthalmic Suspension,Fluorometholone Acetate,0.10%,Monicopharma Ltd.,5,5 ml drop: ৳ 100.00
